Name,Bouboule,Coin bouboule,Coin pas ouvert,Coin ouvert mais DL aux jonctions,Coin ouvert
CHEBI:18155,,0,0,0,0,0
CHEBI:27452,,0,0,0,0,0
CHEBI:16359,,0,0,0,0,0
CHEBI:4514,,0,0,0,0,0
CHEBI:17413,,0,0,0,0,0
CHEBI:15426,,0,0,0,0,0
CHEBI:7747,,0,0,0,0,0
CHEBI:20794,,0,0,0,0,0
CHEBI:17207,,0,0,0,0,0
CHEBI:15941,,0,0,0,0,0
CHEBI:16257,,0,0,0,0,0
CHEBI:17514,,0,0,0,0,0
CHEBI:27406,,0,0,0,0,0
CHEBI:16120,,0,0,0,0,0
CHEBI:17960,,0,0,0,0,0
CHEBI:17525,,0,0,0,0,0
CHEBI:3504,,0,0,0,0,0
CHEBI:18346,,0,0,0,0,0
CHEBI:17846,,0,0,0,0,0
CHEBI:15535,,0,0,0,0,0
CHEBI:9023,,0,0,0,0,0
CHEBI:18156,,0,0,0,0,0
CHEBI:17023,,0,0,0,0,0
CHEBI:27398,,0,0,0,0,0
CHEBI:16064,,0,0,0,0,0
CHEBI:17875,,0,0,0,0,0
CHEBI:15689,,0,0,0,0,0
CHEBI:16710,,0,0,0,0,0
CHEBI:18022,,0,0,0,0,0
CHEBI:18247,,0,0,0,0,0
CHEBI:18033,,0,0,0,0,0
CHEBI:15832,,0,0,0,0,0
CHEBI:10023,,0,0,0,0,0
CHEBI:7071,,0,0,0,0,0
CHEBI:17409,,0,0,0,0,0
CHEBI:17319,,0,0,0,0,0
CHEBI:18132,,0,0,0,0,0
CHEBI:17469,,0,0,0,0,0
CHEBI:16464,,0,0,0,0,0
CHEBI:17340,,0,0,0,0,0
CHEBI:18144,,0,0,0,0,0
CHEBI:15671,,0,0,0,0,0
CHEBI:18080,,0,0,0,0,0
CHEBI:15634,,0,0,0,0,0
CHEBI:27404,,0,0,0,0,0
CHEBI:18316,,0,0,0,0,0
CHEBI:19643,,0,0,0,0,0
CHEBI:16286,,0,0,0,0,0
CHEBI:15665,,0,0,0,0,0
CHEBI:16671,,0,0,0,0,0
CHEBI:16142,,0,0,0,0,0
CHEBI:16453,,0,0,0,0,0
CHEBI:16111,,0,0,0,0,0
CHEBI:1712,,0,0,0,0,0
CHEBI:17256,,0,0,0,0,0
CHEBI:3354,,0,0,0,0,0
CHEBI:17574,,0,0,0,0,0
CHEBI:18398,,0,0,0,0,0
CHEBI:17465,,0,0,0,0,0
CHEBI:25629,,0,0,0,0,0
CHEBI:18093,,0,0,0,0,0
CHEBI:16335,,0,0,0,0,0
CHEBI:17886,,0,0,0,0,0
CHEBI:15725,,0,0,0,0,0
CHEBI:17763,,0,0,0,0,0
CHEBI:27410,,0,0,0,0,0
CHEBI:16835,,0,0,0,0,0
CHEBI:17110,,0,0,0,0,0
CHEBI:15767,,0,0,0,0,0
CHEBI:17114,,0,0,0,0,0
CHEBI:15570,,0,0,0,0,0
CHEBI:17403,,0,0,0,0,0
CHEBI:18284,,0,0,0,0,0
CHEBI:17559,,0,0,0,0,0
CHEBI:15459,,0,0,0,0,0
CHEBI:15346,,0,0,0,0,0
CHEBI:17318,,0,0,0,0,0
CHEBI:12257,,0,0,0,0,0
CHEBI:16765,,0,0,0,0,0
CHEBI:16552,,0,0,0,0,0
CHEBI:16746,,0,0,0,0,0
CHEBI:17773,,0,0,0,0,0
CHEBI:15374,,0,0,0,0,0
CHEBI:8435,,0,0,0,0,0
CHEBI:15838,,0,0,0,0,0
CHEBI:17907,,0,0,0,0,0
CHEBI:15907,,0,0,0,0,0
CHEBI:16380,3 ,0,0,0,0,1
CHEBI:18009,,0,0,0,0,0
CHEBI:15353,,0,0,0,0,0
CHEBI:18129,,0,0,0,0,0
CHEBI:15930,,0,0,0,0,0
CHEBI:16048,,0,0,0,0,0
CHEBI:18240,,0,0,0,0,0
CHEBI:18415,,0,0,0,0,0
CHEBI:3756,,0,0,0,0,0
CHEBI:16967,,0,0,0,0,0
CHEBI:16067,,0,0,0,0,0
CHEBI:17382,,0,0,0,0,0
CHEBI:15516,,0,0,0,0,0
CHEBI:18307,,0,0,0,0,0
CHEBI:27428,,0,0,0,0,0
CHEBI:16470,,0,0,0,0,0
CHEBI:15890,,0,0,0,0,0
CHEBI:16948,,0,0,0,0,0
CHEBI:16720,,0,0,0,0,0
CHEBI:16656,,0,0,0,0,0
CHEBI:16243,,0,0,0,0,0
CHEBI:3716,,0,0,0,0,0
CHEBI:17359,,0,0,0,0,0
CHEBI:15547,,0,0,0,0,0
CHEBI:3112,,0,0,0,0,0
CHEBI:17793,,0,0,0,0,0
CHEBI:15590,,0,0,0,0,0
CHEBI:17828,,0,0,0,0,0
CHEBI:16731,,0,0,0,0,0
CHEBI:18197,,0,0,0,0,0
CHEBI:15999,,0,0,0,0,0
CHEBI:15711,,0,0,0,0,0
CHEBI:18410,,0,0,0,0,0
CHEBI:17221,,0,0,0,0,0
CHEBI:16877,,0,0,0,0,0
CHEBI:16210,,0,0,0,0,0
CHEBI:17533,,0,0,0,0,0
CHEBI:15504,,0,0,0,0,0
CHEBI:16511,,0,0,0,0,0
CHEBI:16652,,0,0,0,0,0
CHEBI:16137,,0,0,0,0,0
CHEBI:15934,,0,0,0,0,0
CHEBI:9215,,0,0,0,0,0
CHEBI:15556,,0,0,0,0,0
CHEBI:2686,,0,0,0,0,0
CHEBI:17661,,0,0,0,0,0
CHEBI:7798,,0,0,0,0,0
CHEBI:16749,,0,0,0,0,0
CHEBI:15925,,0,0,0,0,0
CHEBI:17104,,0,0,0,0,0
CHEBI:15728,,0,0,0,0,0
CHEBI:18113,,0,0,0,0,0
CHEBI:17213,,0,0,0,0,0
CHEBI:17687,,0,0,0,0,0
CHEBI:15337,,0,0,0,0,0
CHEBI:17874,,0,0,0,0,0
CHEBI:15463,,0,0,0,0,0
CHEBI:16413,,0,0,0,0,0
CHEBI:16689,,0,0,0,0,0
CHEBI:15499,,0,0,0,0,0
CHEBI:15878,,0,0,0,0,0
CHEBI:16148,,0,0,0,0,0
CHEBI:16230,,0,0,0,0,0
CHEBI:2631,,0,0,0,0,0
CHEBI:15386,,0,0,0,0,0
CHEBI:17312,,0,0,0,0,0
CHEBI:15661,,0,0,0,0,0
CHEBI:16709,,0,0,0,0,0
CHEBI:16863,,0,0,0,0,0
