nom_molecule,classement_1,classement_2,diff_classement
CHEBI_51227.csv,181,180,-1
CHEBI_141328.csv,668,667,-1
CHEBI_177874.csv,124,123,-1
CHEBI_142029.csv,158,157,-1
CHEBI_60968.csv,713,712,-1
CHEBI_64266.csv,108,107,-1
CHEBI_36184.csv,30,29,-1
CHEBI_27888.csv,304,303,-1
CHEBI_40611.csv,72,71,-1
CHEBI_68257.csv,85,84,-1
CHEBI_68237.csv,90,89,-1
CHEBI_51169.csv,14,12,-2
CHEBI_66261.csv,119,117,-2
CHEBI_33723.csv,116,114,-2
CHEBI_51172.csv,13,11,-2
CHEBI_66486.csv,652,650,-2
CHEBI_58679.csv,152,150,-2
CHEBI_51595.csv,188,186,-2
CHEBI_19051.csv,122,120,-2
CHEBI_48457.csv,66,64,-2
CHEBI_132789.csv,20,18,-2
CHEBI_16379.csv,192,190,-2
CHEBI_69018.csv,177,174,-3
CHEBI_68256.csv,86,83,-3
CHEBI_132700.csv,142,139,-3
CHEBI_33725.csv,118,115,-3
CHEBI_37673.csv,161,158,-3
CHEBI_10330.csv,106,103,-3
CHEBI_58686.csv,175,172,-3
CHEBI_132699.csv,140,137,-3
CHEBI_33014.csv,114,111,-3
CHEBI_40519.csv,70,67,-3
CHEBI_77867.csv,746,743,-3
CHEBI_61258.csv,113,110,-3
CHEBI_77725.csv,157,154,-3
CHEBI_17384.csv,154,151,-3
CHEBI_132662.csv,199,196,-3
CHEBI_64078.csv,47,44,-3
CHEBI_132660.csv,194,191,-3
CHEBI_61414.csv,745,741,-4
CHEBI_17372.csv,160,156,-4
CHEBI_132791.csv,21,17,-4
CHEBI_48796.csv,19,15,-4
CHEBI_132707.csv,137,133,-4
CHEBI_66296.csv,17,13,-4
CHEBI_132664.csv,211,207,-4
CHEBI_36163.csv,372,368,-4
CHEBI_132817.csv,24,20,-4
CHEBI_66292.csv,27,23,-4
CHEBI_17184.csv,101,97,-4
CHEBI_66294.csv,26,22,-4
CHEBI_34852.csv,100,96,-4
CHEBI_66293.csv,25,21,-4
CHEBI_66295.csv,28,24,-4
CHEBI_132815.csv,23,19,-4
CHEBI_51171.csv,18,14,-4
CHEBI_58504.csv,662,658,-4
CHEBI_3792.csv,240,236,-4
CHEBI_36373.csv,653,649,-4
